priority,category,channel,complexity_score,response_time_hours,resolution_time_hours,previous_tickets,customer_tenure_months,customer_age,sla_breach,escalated
High,Login Issue,Email,6,2.29,13.43,0,12,40,0,0
Low,Security Breach,Email,2,51.74,198.01,3,30,61,1,0
Low,Data Loss,Portal,4,9.84,55.82,2,27,56,0,0
Medium,Feature Request,Email,3,4.87,32.32,4,43,18,0,0
Low,Integration Failure,Phone,4,50.4,160.67,2,58,66,1,0
Urgent,Feature Request,Phone,6,0.39,7.17,1,53,69,0,0
Urgent,Login Issue,Phone,7,0.85,3.21,6,6,65,0,0
High,Billing Dispute,Email,8,11.96,58.82,3,1,49,1,1
Urgent,Login Issue,Phone,7,0.36,2.46,4,43,22,0,0
Urgent,Login Issue,Portal,10,2.19,14.27,3,21,32,1,1
Low,Login Issue,Chat,3,33.03,138.08,3,12,27,1,0
Urgent,Feature Request,Chat,7,0.34,6.96,2,46,50,0,0
Medium,Login Issue,Chat,3,9.29,39.32,4,38,57,0,0
Urgent,Payment Problem,Email,8,1.48,11.32,3,51,40,1,1
Urgent,Feature Request,Portal,10,0.76,3.12,4,45,55,0,0
Medium,Data Loss,Portal,5,22.41,67.05,0,14,69,1,0
Low,Payment Problem,Portal,2,48.26,145.16,6,9,29,1,0
Low,Security Breach,Chat,4,38.23,171.81,1,2,47,1,0
Medium,Data Loss,Phone,6,25.72,57.38,0,29,28,1,0
Urgent,Integration Failure,Email,10,0.45,6.83,0,61,59,0,0
Urgent,Subscription Cancellation,Phone,7,1.43,18.35,2,35,66,1,1
Low,Feature Request,Chat,4,32.74,224.23,2,69,37,1,0
Medium,Subscription Cancellation,Portal,3,35.99,114.62,3,5,55,1,0
Medium,Feature Request,Phone,4,21.08,76.34,0,44,21,1,0
Low,Data Loss,Portal,2,63.1,162.04,1,50,59,1,0
Low,Integration Failure,Portal,3,10.94,59.74,2,55,32,0,0
Medium,Performance Issue,Portal,4,27.4,61.11,3,44,34,1,0
Urgent,Performance Issue,Email,6,0.83,6.68,3,69,37,0,0
Medium,Payment Problem,Phone,4,29.07,103.9,1,62,29,1,0
Medium,Login Issue,Chat,5,3.02,20.32,2,7,55,0,0
High,Login Issue,Chat,4,5.87,44.73,3,69,24,1,0
Medium,Performance Issue,Email,6,33.12,71.66,4,1,27,1,0
Urgent,Data Loss,Phone,10,0.55,3.08,3,39,56,0,0
Urgent,Integration Failure,Email,7,0.65,3.68,0,9,54,0,0
Medium,Payment Problem,Chat,2,13.76,93.11,5,52,20,1,0
Medium,Data Loss,Phone,3,24.31,96.53,4,36,64,1,0
Medium,Login Issue,Portal,5,6.28,20.23,3,44,46,0,0
Medium,Payment Problem,Phone,6,8.58,38.54,3,67,55,0,0
Low,Subscription Cancellation,Chat,1,38.91,228.58,2,26,41,1,0
High,Account Suspension,Chat,6,3.03,13.9,6,11,34,0,0
Medium,Security Breach,Email,3,28.5,96.23,5,43,20,1,0
Low,Payment Problem,Chat,2,13.97,62.0,2,28,26,0,0
Medium,Login Issue,Email,6,5.78,22.63,3,40,43,0,0
Urgent,Data Loss,Portal,10,0.43,7.22,1,11,64,0,0
Low,Subscription Cancellation,Chat,4,50.8,283.07,2,12,31,1,0
Low,Security Breach,Email,1,52.7,211.84,3,42,67,1,0
Medium,Security Breach,Chat,2,23.42,93.38,0,33,24,1,0
Urgent,Payment Problem,Chat,6,0.44,5.82,4,5,30,0,0
Low,Security Breach,Chat,1,66.52,242.14,3,21,40,1,0
High,Subscription Cancellation,Email,5,1.73,15.44,0,30,21,0,0
High,Integration Failure,Portal,8,9.51,36.91,4,33,54,1,1
Low,Data Loss,Email,1,67.66,281.45,1,1,46,1,0
High,Payment Problem,Email,8,9.32,45.28,1,29,50,1,1
Medium,Security Breach,Email,5,5.69,42.71,3,71,38,0,0
High,Integration Failure,Chat,5,6.66,54.23,2,51,65,1,0
High,Data Loss,Email,4,3.36,17.33,2,65,67,0,0
Medium,Feature Request,Email,3,24.37,100.55,4,48,36,1,0
Low,Integration Failure,Chat,2,53.46,285.09,2,33,22,1,0
Urgent,Feature Request,Chat,8,0.65,5.68,1,3,32,0,0
Medium,Feature Request,Email,6,25.37,84.27,0,66,63,1,0
Low,Integration Failure,Email,4,21.56,70.5,4,18,57,0,0
Low,Security Breach,Chat,3,68.86,296.62,0,18,56,1,0
High,Feature Request,Email,5,0.92,18.93,10,12,59,0,0
High,Security Breach,Chat,8,8.24,48.96,0,27,21,1,1
Low,Security Breach,Email,3,52.19,148.14,0,59,41,1,0
Medium,Data Loss,Email,6,10.73,32.75,3,69,67,0,0
Low,Billing Dispute,Chat,4,29.58,163.73,1,35,62,1,0
High,Subscription Cancellation,Email,6,3.17,13.28,3,26,66,0,0
Low,Security Breach,Email,2,55.69,225.63,3,10,64,1,0
High,Data Loss,Chat,7,3.0,7.32,5,52,57,0,0
Medium,Account Suspension,Portal,5,5.03,41.3,0,3,64,0,0
Urgent,Feature Request,Phone,10,0.76,4.68,4,21,51,0,0
Low,Payment Problem,Phone,1,39.29,236.61,1,34,37,1,0
Medium,Security Breach,Portal,4,8.48,20.7,2,54,67,0,0
Low,Integration Failure,Portal,2,18.97,90.69,1,26,34,0,0
Urgent,Feature Request,Phone,7,0.79,4.01,1,10,30,0,0
Urgent,Feature Request,Chat,8,0.61,5.08,2,20,47,0,0
Medium,Account Suspension,Chat,5,22.63,74.52,1,55,18,1,0
High,Payment Problem,Email,6,1.53,17.25,3,47,25,0,0
Urgent,Data Loss,Phone,6,1.16,18.32,0,49,35,1,1
High,Account Suspension,Portal,8,4.77,47.94,4,62,18,1,1
Medium,Subscription Cancellation,Chat,5,6.17,19.96,3,8,37,0,0
Low,Feature Request,Phone,3,6.51,55.47,5,15,54,0,0
Low,Security Breach,Chat,1,31.51,219.82,2,13,56,1,0
Urgent,Security Breach,Chat,8,0.35,3.81,4,25,54,0,0
Urgent,Account Suspension,Chat,6,0.56,3.42,5,45,22,0,0
High,Subscription Cancellation,Chat,7,8.9,27.97,1,49,43,1,1
Medium,Performance Issue,Chat,2,8.65,17.65,1,42,59,0,0
Medium,Login Issue,Phone,6,24.29,90.76,2,28,39,1,0
High,Integration Failure,Portal,8,9.45,32.94,3,61,43,1,1
Urgent,Integration Failure,Portal,7,2.74,14.38,3,39,23,1,1
Urgent,Performance Issue,Email,8,0.48,5.74,3,38,25,0,0
High,Feature Request,Portal,5,2.86,11.1,3,10,65,0,0
High,Data Loss,Email,8,2.78,22.01,6,52,56,0,0
Low,Payment Problem,Email,1,55.42,175.12,2,59,68,1,0
Low,Performance Issue,Phone,4,53.01,159.23,2,13,26,1,0
Urgent,Subscription Cancellation,Email,6,0.74,4.78,2,25,24,0,0
High,Security Breach,Email,6,10.62,41.26,2,55,43,1,0
Low,Login Issue,Chat,3,44.28,276.21,1,17,58,1,0
Low,Feature Request,Phone,4,16.59,39.69,2,6,61,0,0
High,Login Issue,Email,8,1.55,11.45,2,21,35,0,0
Low,Payment Problem,Chat,3,60.87,279.68,1,21,51,1,0
Low,Security Breach,Phone,3,66.55,259.47,5,28,41,1,0
Medium,Subscription Cancellation,Phone,5,30.56,53.06,0,63,18,1,0
High,Integration Failure,Portal,5,2.27,15.44,4,20,60,0,0
High,Payment Problem,Chat,7,1.2,11.02,2,5,22,0,0
Low,Performance Issue,Email,1,66.21,298.03,1,23,50,1,0
High,Integration Failure,Email,5,10.59,59.45,2,9,66,1,0
Low,Integration Failure,Chat,2,58.23,287.8,2,9,33,1,0
Medium,Subscription Cancellation,Phone,2,32.61,53.47,3,52,50,1,0
High,Performance Issue,Email,4,8.45,56.81,2,29,42,1,0
High,Account Suspension,Email,5,11.93,37.38,2,37,40,1,0
Urgent,Payment Problem,Phone,9,0.83,5.74,4,30,23,0,0
High,Data Loss,Phone,8,1.29,14.21,0,17,47,0,0
High,Billing Dispute,Phone,8,2.01,12.73,4,50,20,0,0
Low,Security Breach,Phone,4,7.86,58.38,4,4,36,0,0
Medium,Subscription Cancellation,Phone,6,18.31,81.55,3,67,47,1,0
Medium,Security Breach,Phone,5,6.91,23.67,2,46,57,0,0
Low,Payment Problem,Chat,4,42.88,287.57,1,19,41,1,0
Urgent,Performance Issue,Portal,10,0.88,4.67,6,1,63,0,0
Medium,Data Loss,Chat,3,13.2,116.28,6,66,59,1,0
Urgent,Billing Dispute,Email,8,0.21,4.33,3,52,46,0,0
High,Login Issue,Email,4,3.56,11.25,1,3,34,0,0
High,Data Loss,Phone,7,1.52,19.82,1,44,55,0,0
Medium,Subscription Cancellation,Portal,3,13.26,87.78,5,31,58,1,0
High,Security Breach,Email,7,2.11,9.74,4,10,42,0,0
Medium,Data Loss,Email,5,17.66,115.16,3,54,63,1,0
Low,Feature Request,Portal,2,5.76,111.04,7,52,63,0,0
High,Performance Issue,Portal,5,2.39,17.94,2,58,61,0,0
Medium,Performance Issue,Email,5,16.4,118.11,3,69,18,1,0
Low,Feature Request,Chat,3,64.56,245.26,2,70,33,1,0
High,Integration Failure,Phone,7,6.7,47.34,1,58,29,1,1
Low,Integration Failure,Email,1,36.51,270.76,0,31,28,1,0
Urgent,Payment Problem,Portal,9,0.75,2.75,2,36,27,0,0
Urgent,Account Suspension,Email,9,0.84,4.7,3,14,69,0,0
Urgent,Login Issue,Email,6,0.27,4.64,2,41,20,0,0
Medium,Feature Request,Email,4,3.76,33.77,4,8,46,0,0
Low,Payment Problem,Email,2,13.34,63.08,7,70,51,0,0
Urgent,Security Breach,Email,6,0.64,4.76,1,32,48,0,0
Medium,Feature Request,Email,5,15.1,109.88,4,43,21,1,0
Urgent,Account Suspension,Phone,9,0.48,7.33,1,30,49,0,0
Urgent,Feature Request,Email,8,0.87,4.92,2,47,64,0,0
Urgent,Account Suspension,Portal,6,0.86,6.07,2,3,20,0,0
Medium,Account Suspension,Chat,4,20.3,89.58,3,10,62,1,0
Medium,Account Suspension,Phone,4,18.39,111.1,2,17,67,1,0
Urgent,Performance Issue,Email,7,0.64,3.76,3,60,53,0,0
Medium,Data Loss,Email,3,15.39,110.82,3,14,35,1,0
Low,Performance Issue,Chat,1,37.04,218.53,2,10,55,1,0
High,Payment Problem,Chat,4,5.67,41.73,4,17,39,1,0
Urgent,Performance Issue,Phone,10,0.36,7.35,0,19,65,0,0
High,Performance Issue,Phone,6,1.44,11.96,1,9,63,0,0
High,Security Breach,Phone,8,2.68,8.49,4,64,22,0,0
Low,Feature Request,Chat,4,48.66,244.88,4,46,61,1,0
High,Performance Issue,Portal,8,3.39,11.3,3,59,38,0,0
Urgent,Billing Dispute,Chat,10,0.75,5.74,3,70,22,0,0
Low,Account Suspension,Portal,2,13.78,40.37,2,48,43,0,0
Medium,Feature Request,Phone,6,5.17,31.94,2,5,39,0,0
Urgent,Integration Failure,Email,7,0.82,3.63,1,63,26,0,0
High,Security Breach,Email,6,5.0,28.93,2,28,39,1,0
High,Data Loss,Chat,5,2.84,8.07,2,43,62,0,0
High,Security Breach,Phone,8,1.14,22.14,5,8,29,0,0
Medium,Account Suspension,Chat,4,25.35,70.64,3,34,59,1,0
Medium,Feature Request,Phone,2,10.51,32.55,2,41,30,0,0
Urgent,Data Loss,Email,7,1.55,14.23,6,52,56,1,1
Urgent,Login Issue,Email,8,0.26,4.29,0,17,37,0,0
Urgent,Subscription Cancellation,Email,7,1.75,14.88,1,5,22,1,1
Urgent,Security Breach,Chat,9,0.56,5.31,1,29,20,0,0
Medium,Data Loss,Phone,6,8.92,40.52,1,19,37,0,0
Medium,Payment Problem,Email,2,13.88,78.76,4,26,32,1,0
High,Data Loss,Chat,7,5.39,38.26,3,44,45,1,1
High,Subscription Cancellation,Email,5,7.52,49.22,1,25,22,1,0
High,Account Suspension,Email,4,5.12,38.89,3,18,68,1,0
High,Feature Request,Phone,7,3.67,15.17,7,39,47,0,0
Urgent,Login Issue,Chat,6,0.58,3.3,1,41,31,0,0
Medium,Payment Problem,Phone,6,5.79,23.26,0,30,18,0,0
Medium,Data Loss,Phone,6,35.54,66.32,1,58,63,1,0
Low,Billing Dispute,Portal,1,16.43,101.57,2,35,60,0,0
High,Performance Issue,Email,6,2.35,19.65,2,51,24,0,0
Low,Account Suspension,Chat,2,9.14,66.59,2,54,45,0,0
Medium,Security Breach,Phone,6,4.68,28.14,4,47,46,0,0
Medium,Security Breach,Phone,3,21.46,80.39,4,45,68,1,0
Medium,Subscription Cancellation,Phone,5,30.32,65.76,1,53,25,1,0
High,Account Suspension,Email,8,3.25,19.42,3,67,38,0,0
Low,Payment Problem,Email,3,35.16,271.26,0,66,55,1,0
Low,Integration Failure,Chat,4,19.51,83.57,4,64,52,0,0
Urgent,Login Issue,Phone,7,1.73,17.11,2,44,59,1,1
Medium,Payment Problem,Email,3,17.77,96.66,5,48,69,1,0
Low,Login Issue,Email,3,35.28,149.23,2,39,44,1,0
Medium,Feature Request,Phone,6,6.57,31.59,6,65,67,0,0
High,Feature Request,Email,6,10.23,38.06,6,37,29,1,0
Low,Account Suspension,Email,2,52.42,168.99,5,17,37,1,0
High,Account Suspension,Email,6,2.19,17.57,1,11,56,0,0
Low,Security Breach,Email,4,5.12,105.33,1,11,38,0,0
Low,Performance Issue,Chat,3,14.94,113.99,3,54,63,0,0
Medium,Subscription Cancellation,Chat,3,28.58,91.59,6,66,36,1,0
Medium,Performance Issue,Email,2,15.44,97.98,1,8,30,1,0
High,Payment Problem,Email,4,3.67,17.36,1,14,20,0,0
High,Security Breach,Email,7,5.1,49.75,1,46,65,1,1
Urgent,Login Issue,Phone,8,0.72,3.68,3,68,51,0,0
Medium,Integration Failure,Email,2,7.12,19.37,4,16,44,0,0
Medium,Data Loss,Chat,3,10.36,27.11,5,71,35,0,0
High,Billing Dispute,Email,5,2.04,14.47,3,33,20,0,0
Medium,Feature Request,Email,4,24.79,104.09,1,6,54,1,0
Medium,Performance Issue,Email,4,7.38,33.83,1,52,20,0,0
Low,Subscription Cancellation,Email,4,20.55,79.08,1,8,55,0,0
Low,Integration Failure,Phone,4,19.19,74.88,4,30,53,0,0
Urgent,Integration Failure,Chat,6,0.41,3.56,3,7,34,0,0
Urgent,Feature Request,Phone,6,0.92,4.34,3,19,60,0,0
High,Billing Dispute,Email,8,10.12,30.08,1,63,43,1,1
Medium,Account Suspension,Email,5,13.47,57.22,1,3,64,1,0
Low,Integration Failure,Email,4,34.78,134.22,5,31,35,1,0
Low,Payment Problem,Phone,3,65.42,146.72,2,47,38,1,0
Medium,Payment Problem,Email,3,8.21,32.96,6,13,42,0,0
Medium,Account Suspension,Chat,4,4.72,44.71,0,43,63,0,0
High,Login Issue,Email,8,1.31,7.65,1,19,53,0,0
High,Security Breach,Email,7,1.24,19.42,5,27,50,0,0
Medium,Account Suspension,Portal,2,5.26,35.16,4,34,48,0,0
Urgent,Billing Dispute,Chat,7,0.87,6.87,3,19,25,0,0
High,Payment Problem,Phone,8,1.86,21.95,1,18,51,0,0
High,Integration Failure,Phone,6,9.42,53.72,3,65,60,1,0
High,Payment Problem,Chat,8,1.13,19.65,3,48,57,0,0
Medium,Data Loss,Email,5,25.32,58.6,3,12,65,1,0
Low,Security Breach,Chat,3,10.97,64.0,2,70,37,0,0
Medium,Subscription Cancellation,Email,6,3.84,33.64,3,19,54,0,0
High,Data Loss,Chat,5,3.19,7.47,5,26,61,0,0
Low,Login Issue,Chat,4,19.48,73.02,0,38,60,0,0
Low,Feature Request,Phone,3,10.31,36.65,3,25,43,0,0
Low,Data Loss,Phone,3,56.21,256.59,0,12,65,1,0
Low,Login Issue,Phone,1,44.37,176.63,1,63,42,1,0
Urgent,Login Issue,Email,6,0.23,6.33,2,40,46,0,0
High,Subscription Cancellation,Email,6,2.08,14.69,3,28,41,0,0
Medium,Feature Request,Email,4,26.33,60.06,8,6,28,1,0
Low,Performance Issue,Phone,4,40.04,286.44,2,60,24,1,0
Medium,Account Suspension,Portal,4,34.83,99.7,5,52,23,1,0
Medium,Integration Failure,Email,3,25.92,101.48,3,23,66,1,0
Low,Billing Dispute,Email,1,43.34,170.78,2,2,41,1,0
Medium,Billing Dispute,Chat,2,29.96,61.24,3,26,67,1,0
Medium,Billing Dispute,Portal,3,5.47,44.18,2,17,56,0,0
High,Performance Issue,Chat,4,4.59,38.04,5,30,27,1,0
High,Account Suspension,Email,4,0.82,10.86,2,48,63,0,0
Low,Billing Dispute,Portal,2,40.17,279.57,0,60,46,1,0
Medium,Account Suspension,Phone,2,16.76,83.94,3,21,58,1,0
High,Integration Failure,Email,8,7.08,48.38,4,18,27,1,1
Medium,Billing Dispute,Portal,5,9.33,22.71,2,27,22,0,0
Urgent,Feature Request,Chat,6,0.43,7.44,5,69,68,0,0
High,Login Issue,Chat,7,2.48,14.59,3,26,63,0,0
Low,Billing Dispute,Chat,4,21.35,69.1,4,61,53,0,0
Low,Account Suspension,Phone,2,17.37,41.04,3,5,30,0,0
High,Login Issue,Phone,8,8.67,50.19,2,13,42,1,1
Low,Subscription Cancellation,Email,4,65.94,222.89,4,62,28,1,0
High,Billing Dispute,Portal,4,6.91,58.87,3,58,21,1,0
Urgent,Billing Dispute,Email,9,0.35,3.06,3,40,50,0,0
High,Data Loss,Phone,4,3.04,13.3,5,37,33,0,0
Medium,Login Issue,Chat,2,14.54,69.87,3,48,67,1,0
High,Billing Dispute,Email,7,7.62,48.83,1,41,56,1,1
Medium,Feature Request,Email,3,19.75,57.62,0,45,58,1,0
Medium,Integration Failure,Portal,4,35.35,119.5,2,56,64,1,0
Urgent,Login Issue,Chat,6,1.82,16.8,1,15,57,1,1
Medium,Integration Failure,Phone,6,28.33,78.42,1,60,61,1,0
Urgent,Security Breach,Chat,7,1.61,12.93,5,23,50,1,1
Urgent,Account Suspension,Phone,9,0.94,4.9,5,21,33,0,0
Low,Subscription Cancellation,Chat,2,34.63,249.24,2,51,69,1,0
Low,Data Loss,Email,3,67.75,231.37,1,36,31,1,0
Low,Feature Request,Chat,1,46.71,213.32,2,34,32,1,0
Low,Subscription Cancellation,Portal,4,45.88,164.83,4,66,60,1,0
Low,Data Loss,Chat,3,58.38,161.2,6,27,53,1,0
High,Subscription Cancellation,Email,7,5.11,57.17,1,1,53,1,1
Low,Subscription Cancellation,Portal,4,51.33,224.68,2,53,57,1,0
Medium,Payment Problem,Phone,4,18.22,91.77,5,38,49,1,0
Urgent,Account Suspension,Email,8,0.32,4.65,4,39,39,0,0
Low,Performance Issue,Portal,1,66.41,250.97,2,28,68,1,0
Urgent,Data Loss,Phone,7,0.95,6.57,1,29,64,0,0
Medium,Feature Request,Email,5,35.34,80.44,3,33,19,1,0
Low,Login Issue,Email,4,63.84,140.84,2,69,26,1,0
High,Subscription Cancellation,Phone,6,3.56,11.14,3,34,61,0,0
High,Subscription Cancellation,Phone,6,3.57,20.02,1,8,45,0,0
Urgent,Data Loss,Email,8,1.44,15.07,2,35,63,1,1
High,Security Breach,Email,7,5.05,56.01,2,19,60,1,1
Urgent,Performance Issue,Email,8,0.3,4.39,4,58,26,0,0
Medium,Subscription Cancellation,Chat,6,16.91,73.97,0,42,57,1,0
Low,Billing Dispute,Email,1,63.9,132.24,3,56,51,1,0
High,Payment Problem,Email,4,3.62,10.01,2,61,18,0,0
Urgent,Integration Failure,Phone,7,1.77,12.55,0,62,60,1,1
Urgent,Payment Problem,Phone,9,0.23,2.81,2,30,44,0,0
Medium,Performance Issue,Chat,2,20.21,93.43,1,65,27,1,0
Medium,Billing Dispute,Chat,3,29.3,119.31,1,43,62,1,0
High,Payment Problem,Chat,8,3.63,8.11,4,47,34,0,0
Medium,Integration Failure,Chat,4,23.45,79.13,2,10,20,1,0
Urgent,Login Issue,Portal,9,0.45,4.48,3,63,33,0,0
Urgent,Account Suspension,Phone,6,0.69,2.76,7,62,35,0,0
Medium,Login Issue,Email,5,4.3,20.19,1,33,43,0,0
High,Account Suspension,Chat,8,10.22,41.62,1,58,68,1,1
High,Security Breach,Chat,5,2.04,22.11,2,57,33,0,0
Low,Security Breach,Chat,3,22.39,80.47,4,57,35,0,0
Urgent,Security Breach,Chat,8,2.87,9.92,1,54,65,1,1
Medium,Payment Problem,Phone,3,28.37,102.67,0,13,26,1,0
Urgent,Security Breach,Phone,10,2.33,18.4,0,34,30,1,1
Medium,Account Suspension,Chat,2,16.01,107.11,1,22,61,1,0
Urgent,Login Issue,Portal,7,1.63,17.97,3,43,44,1,1
Medium,Data Loss,Phone,4,10.16,39.73,0,16,29,0,0
